directionIntent,rsi,rvol,atrPercentage,prevADX,bodySize,target_win
-1,54.7957,0.1453,0.1999,25.7071,0.2800,0
1,63.2747,2.0541,0.1987,9.5417,0.3600,0
1,47.7860,0.5271,0.2076,14.4294,0.3900,0
-1,38.5420,2.0214,0.2407,10.9248,0.2400,0
-1,40.5691,2.4415,0.2477,15.0464,0.2200,0
-1,55.9264,4.2451,0.2732,15.3794,0.1900,0
1,72.3085,4.8385,0.2378,14.5568,0.7400,0
1,52.6286,1.0374,0.2753,26.3714,0.4500,1
1,71.0014,3.4153,0.2934,27.6290,0.0300,0
1,52.2050,1.4687,0.2862,29.7831,0.2400,0
-1,39.1035,0.9699,0.2414,21.0307,0.1700,0
1,58.4080,5.1493,0.1989,16.8287,0.0700,1
1,66.7432,1.6225,0.1942,15.5059,0.4800,0
1,62.3604,2.8955,0.2554,27.3570,0.3100,0
1,44.0934,0.2452,0.2933,22.9096,0.1600,0
1,53.5336,1.4307,0.3071,25.8924,0.4800,0
1,44.1635,0.8237,0.3417,22.8041,0.2800,0
-1,40.4571,1.2042,0.2410,17.9668,0.1400,0
-1,56.8439,0.5031,0.2202,24.8272,0.1100,0
-1,51.0211,0.5614,0.1944,20.0674,0.1400,0
1,62.0808,1.0069,0.1556,14.9563,0.1200,0
1,42.4849,0.7387,0.1941,13.6190,0.3400,1
1,73.3446,15.3545,0.1933,30.9540,0.3900,1
1,86.6951,5.9643,0.4107,43.6564,2.4600,0
1,43.2676,1.0001,0.3178,48.0937,0.1800,0
-1,45.3424,0.6577,0.2694,21.8981,0.2100,0
1,59.4386,0.2785,0.1857,20.9924,0.1300,1
1,69.0021,0.7878,0.1934,25.0812,0.3600,0
1,54.0272,0.1289,0.2053,21.2939,0.1000,0
-1,35.1784,0.6733,0.2196,20.7378,0.3900,0
-1,36.0941,2.1326,0.2137,30.3697,0.3000,1
-1,21.8770,1.9038,0.2533,34.8708,0.4100,1
-1,18.3292,2.4741,0.3258,45.9788,0.1700,0
-1,41.6266,1.8888,0.4155,54.3671,1.0800,0
-1,31.2815,2.1891,0.4672,51.7759,0.8600,0
1,65.1306,2.3648,0.2237,17.7689,0.5800,1
1,81.1822,8.6384,0.2740,31.7076,1.1700,0
1,62.6506,1.9707,0.3608,37.8482,0.6200,0
1,48.9338,1.7535,0.4220,37.1082,0.9100,1
1,72.8045,3.8804,0.3883,16.5930,1.5800,0
1,50.5912,4.3097,0.5019,21.9437,0.2100,1
1,73.7701,4.3830,0.4124,17.5209,0.1400,0
1,73.9530,3.4406,0.4951,25.8163,1.1200,0
1,49.1030,0.2070,0.3920,22.5900,0.2400,1
1,82.8144,9.9846,0.3101,30.9927,0.9500,0
1,57.8549,0.5803,0.3523,38.7677,0.4500,0
-1,35.5725,2.0283,0.2023,16.3701,0.0600,0
-1,42.6986,0.3328,0.1617,21.2276,0.1600,0
-1,46.1147,3.9493,0.2463,26.4912,0.4600,0
-1,39.8947,0.4908,0.2117,20.5178,0.2400,0
-1,49.0918,3.6171,0.2671,22.9883,0.5100,1
-1,27.4986,2.7501,0.4051,17.7387,0.7600,1
-1,14.2183,1.7544,0.4924,38.7935,0.1100,0
1,60.5877,1.7013,0.2123,16.7564,0.3500,0
1,57.1067,1.8817,0.2389,23.3715,0.4500,0
-1,42.2886,1.1525,0.2016,19.7794,0.0900,0
-1,36.0847,0.6630,0.2178,22.1521,0.2600,0
-1,49.2814,0.3353,0.2262,19.8372,0.1900,1
-1,31.6802,2.5993,0.2362,21.2233,0.2400,0
-1,54.3358,0.7640,0.2741,23.8371,0.5800,0
1,75.1270,3.2770,0.1435,9.8940,0.3200,0
1,73.3807,0.2633,0.1391,28.1684,0.3000,0
1,41.5897,0.2125,0.1523,31.9114,0.4300,0
-1,39.1035,0.6401,0.1704,27.9233,0.1100,0
-1,53.5204,0.1872,0.1953,26.7811,0.1400,0
-1,43.9795,0.3559,0.2696,27.7619,0.3000,1
-1,44.6217,3.6916,0.2051,26.3450,0.3500,1
-1,25.8560,3.3433,0.3188,20.8889,0.9300,0
-1,22.9584,1.6453,0.3558,26.9745,0.5500,0
-1,54.6704,2.9134,0.4687,34.7777,1.3300,0
1,57.5966,1.1135,0.2692,11.4149,0.1000,0
1,60.1626,0.6499,0.2407,21.4908,0.3000,1
1,68.2804,1.9478,0.3565,26.0613,0.6700,0
1,53.6883,0.9846,0.3366,29.2310,0.1400,0
-1,32.1394,1.5335,0.2052,15.2211,0.3300,0
