rsi,currentADX,prevADX,rvol,atrPercentage,upperWick,lowerWick,bodySize,isWhipsaw,directionIntent,target_win
45.5612,25.1427,25.8783,0.5799,0.4061,0.3900,0.1800,0.1100,0,-1,1
24.3929,30.3565,28.2716,2.7241,0.5150,0.1900,0.1300,0.6000,0,-1,0
30.0867,36.3572,36.1569,1.0145,0.6406,0.5600,0.1600,0.6600,1,-1,0
52.5418,19.7058,20.6685,1.4811,0.5263,0.1400,0.0900,1.2100,0,-1,0
65.2108,21.9865,20.1545,5.1671,0.5334,0.7300,0.0000,0.7100,0,1,0
47.0587,22.1799,23.2954,2.1142,0.6087,0.3500,0.2800,0.5300,0,1,1
55.0747,22.0733,20.8909,3.7110,0.6758,1.7900,0.0500,0.5100,1,1,0
65.2880,16.2889,14.8647,2.5340,0.6026,0.0000,0.1300,2.7700,1,1,0
59.1132,23.0967,21.8411,1.0368,0.7336,0.1100,0.0000,0.5800,1,1,0
48.4718,34.0402,35.3715,0.3348,0.4223,0.1300,0.0800,0.2600,0,1,0
44.9133,19.7824,20.2537,4.7332,0.3961,0.4600,0.6600,0.0700,0,-1,0
37.8619,19.4309,18.6246,2.6059,0.4957,0.1300,0.3900,1.3100,0,-1,0
48.3068,38.3516,39.6042,0.5113,0.5067,0.0800,0.3300,0.3000,0,-1,0
59.7772,17.4439,16.8478,0.9144,0.2632,0.1400,0.0200,0.4800,0,1,0
53.0639,21.5633,22.7437,0.5924,0.2769,0.0600,0.5000,0.1500,1,1,0
31.2045,18.2356,17.3943,4.4574,0.3920,0.1000,0.0900,0.7900,0,-1,1
22.2076,23.8998,21.0836,3.1897,0.4363,0.1900,0.5100,1.4100,0,-1,0
41.8765,24.2012,24.8485,2.8343,0.6409,1.2100,0.1400,0.7400,0,-1,0
39.0679,23.7253,23.2995,1.3086,0.8330,0.1100,0.6600,1.5000,1,-1,0
63.4597,17.8686,17.3899,1.0416,0.5103,0.0800,0.1100,1.0700,0,1,0
46.7206,23.5310,24.7721,0.7774,0.4016,0.0500,0.3800,0.2600,0,1,0
37.9540,19.5291,16.9044,4.5820,0.4561,0.0600,0.9200,0.4000,0,-1,0
59.8278,21.5646,21.8234,0.2500,0.2741,0.0100,0.1200,0.3500,1,1,0
51.5899,29.3985,30.0016,1.2436,0.3708,0.3000,0.0900,0.6000,1,1,0
40.8083,22.2642,22.8172,1.0176,0.4925,0.0500,0.4000,0.5000,0,-1,0
69.2690,17.2319,14.9444,2.0272,0.2615,0.0100,0.0300,0.6700,0,1,0
63.6275,28.1314,27.7623,1.2396,0.3212,0.0100,0.3600,0.3100,1,1,0
72.2685,31.6492,29.8844,1.5493,0.3600,0.3200,0.1500,0.4300,0,1,0
39.1309,22.6308,23.3764,1.1084,0.2579,0.0200,0.3100,0.2300,0,-1,0
51.0709,21.4824,23.1112,1.2982,0.2725,0.1100,0.0300,0.5100,0,-1,0
72.3955,19.1640,17.4615,6.5064,0.3618,0.0000,0.0000,1.8200,1,1,0
53.7563,23.0054,21.3957,1.1048,0.5158,0.2900,0.4100,0.8700,0,1,1
